language,name_english,name,long_name,book_number,abbreviation,testament,division
English,Jude,Jude,The General Epistle of Jude,65,JUD,NewTestament,GeneralEpistle
English,Revelation,Revelation,The Revelation to John,66,REV,NewTestament,Prophecy
Filipino,Genesis,Genesis,The Book of Genesis,1,GEN,OldTestament,Pentateuch
Filipino,Exodus,Exodus,The Book of Exodus,2,EXO,OldTestament,Pentateuch
Filipino,Leviticus,Leviticus,The Book of Leviticus,3,LEV,OldTestament,Pentateuch
Filipino,Numbers,Bilang,The Book of Numbers,4,NUM,OldTestament,Pentateuch
Filipino,Deuteronomy,Deuteronomio,The Book of Deuteronomy,5,DEU,OldTestament,Pentateuch
Filipino,Joshua,Josue,The Book of Joshua,6,JOS,OldTestament,HistoricalBook
Filipino,Judges,Hukom,The Book of Judges,7,JDG,OldTestament,HistoricalBook
Filipino,Ruth,Ruth,The Book of Ruth,8,RUT,OldTestament,HistoricalBook
Filipino,1 Samuel,1 Samuel,The First Book of Samuel,9,1SA,OldTestament,HistoricalBook
Filipino,2 Samuel,2 Samuel,The Second Book of Samuel,10,2SA,OldTestament,HistoricalBook
Filipino,1 Kings,1 Hari,The First Book of Kings,11,1KI,OldTestament,HistoricalBook
Filipino,2 Kings,2 Hari,The Second Book of Kings,12,2KI,OldTestament,HistoricalBook
Filipino,1 Chronicles,1 Cronica,The First Book of Chronicles,13,1CH,OldTestament,HistoricalBook
Filipino,2 Chronicles,2 Cronica,The Second Book of Chronicles,14,2CH,OldTestament,HistoricalBook
Filipino,Ezra,Ezra,The Book of Ezra,15,EZR,OldTestament,HistoricalBook
Filipino,Nehemiah,Nehemias,The Book of Nehemiah,16,NEH,OldTestament,HistoricalBook
Filipino,Esther,Ester,The Book of Ester,17,EST,OldTestament,HistoricalBook
Filipino,Job,Job,The Book of Job,18,JOB,OldTestament,WisdomBook
Filipino,Psalms,Salmo,The Book of Psalms,19,PSA,OldTestament,WisdomBook
Filipino,Proverbs,Kawikaan,The Book of Proverbs,20,PRO,OldTestament,WisdomBook
Filipino,Ecclesiastes,Mangangaral,The Book of Ecclesiastes,21,ECC,OldTestament,WisdomBook
Filipino,Song of Solomon,Awit,The Song of Solomon,22,SNG,OldTestament,WisdomBook
Filipino,Isaiah,Isaias,The Book of Isaiah,23,ISA,OldTestament,MajorProphet
